event_id,user_id,hour,is_night,area_type,purpose,crowdedness,weather_risk,lighting,duration_in_area,risk_score,risk_level
0,user_103,19,1,road_main,walking_home,0.7796910002727693,0.596850157946487,0.44583275285359114,6.89852003326217,0.7096850157946487,high
1,user_459,23,1,road_main,studying,0.14286681792194078,0.6508884729488529,0.056411579027100256,43.59792756374266,0.8150888472948853,high
2,user_414,5,1,residential,studying,0.18340450985343382,0.3042422429595377,0.5247564316322378,26.48475609988483,0.7304242242959539,high
3,user_561,9,0,park,studying,0.3663618432936917,0.45606998421703593,0.7851759613930136,12.780753147343225,0.5956069984217036,medium
4,user_567,19,1,market,walking_home,0.8599404067363206,0.6803075385877797,0.450499251969543,1.7826327084321252,0.9180307538587781,high
5,user_601,13,0,residential,commuting,0.3046137691733707,0.09767211400638387,0.6842330265121569,26.968997130636478,0.3597672114006384,medium
6,user_455,11,0,road_main,walking_home,0.9093204020787821,0.2587799816000169,0.662522284353982,19.390953489275248,0.37587799816000167,medium
7,user_390,21,1,residential,studying,0.18485445552552704,0.9695846277645586,0.7751328233611146,56.43043755228716,0.7969584627764559,high
8,user_958,3,1,road_small,work,0.1959828624191452,0.045227288910538066,0.32533033076326434,23.93196009167944,0.8045227288910538,high
9,user_338,14,0,road_main,commuting,0.965255307264138,0.6070342476866847,0.27599918202254337,18.48013683654086,0.46070342476866843,medium
10,user_813,0,1,market,shopping,0.7722447692966574,0.1987156815341724,0.005522117123602399,49.112224278835214,0.7698715681534174,high
11,user_593,7,0,industrial,walking_home,0.7712703466859457,0.07404465173409036,0.3584657285442726,7.836274511982653,0.7574044651734091,high
12,user_135,8,0,park,commuting,0.09541011649041131,0.37081825219826636,0.6688412526636073,40.2894190404323,0.7370818252198267,high
13,user_684,7,0,road_small,walking_home,0.5612434258477011,0.38292687475378984,0.9717120953891037,51.085915631698946,0.588292687475379,medium
14,user_5,22,1,road_small,walking_home,0.5227328293819941,0.42754101835854963,0.02541912674409519,7.365594192604963,1.0,high
15,user_575,6,0,market,studying,0.5632755719763837,0.6955160864261275,0.1393314544058757,36.66062537739122,0.6695516086426128,high
16,user_655,10,0,road_main,studying,0.942853570557981,0.598865466488536,0.6947849330397046,52.94760250190021,0.3098865466488536,medium
17,user_682,12,0,road_small,shopping,0.10549425983027061,0.45653457048291024,0.2184404372168336,25.574086924351608,0.7456534570482911,high
18,user_958,10,0,residential,studying,0.3562978380769749,0.906828441545754,0.2721322493846353,39.213717111940376,0.5906828441545754,medium
19,user_633,19,1,road_main,shopping,0.30478125815802903,0.16465585314294173,0.534089419375442,29.60496831018001,0.4164655853142942,medium
20,user_225,18,1,residential,studying,0.24412552224777417,0.16829104217293056,0.21876421957307024,33.92801811902313,0.8668291042172932,high
21,user_692,16,0,road_small,shopping,0.2539154139343447,0.2468760628386012,0.6963042728397884,43.02396480554208,0.5746876062838602,medium
22,user_613,16,0,market,walking_home,0.6095643339798968,0.5026790232288615,0.05147875124998935,17.440141389960075,0.7502679023228862,high
23,user_225,0,1,industrial,work,0.1448948720912231,0.489452760277563,0.9856504541106007,15.281261019178524,1.0,high
24,user_836,22,1,industrial,walking_home,0.24215993827742588,0.8031397563798959,0.4703006344460384,59.021965312795736,1.0,high
